Review,Sentiment
"This product is amazing, I loved it!",positive
"Worst purchase ever, very disappointed.",negative
"The quality is really good, worth the money.",positive
"I will never buy this again, terrible experience.",negative
"Absolutely fantastic, highly recommend it.",positive
"Not good, it broke after one use.",negative
"Excellent quality, exceeded my expectations.",positive
Bad service and poor quality product.,negative
"Very happy with this product, works great.",positive
"Terrible, waste of money.",negative
